Program,A step by step description in a programming language of a process that achieves some useful result.
Identifier,A unique name given to a variable  a constant  a procedure  a function  a program  etc.  There are rules for identifiers.  They must be unique; they must start with a letter; they can only contain letters  digits and the underscore character (no spaces). Identifiers should be meaningful so that the program is easier to understand.
Integer (int),A whole number
Real (double  single  etc),A number with a decimal point.
char,A single letter  digit or symbol. (Character)
string,A collection of characters (N.B. strings are essentially arrays of Char)
Boolean (bool),Has a value of either True or False.
DateTime,A date/time data type
Byte,A byte is a group of 8 bits.  This data type can be used for storing positive integers up to 255.
Variable,A location in memory that contains one or more data values.  Variables need to be declared using a declaration statement before they are used in a program. E.g. int num; string fullname;
Assignment,An operation that assigns a value to a variable.  E.g.   num = 5;  
(Named) Constant,A value that does not change throughout a program.  The use of named constants  rather than actual values  makes a program easier to understand and easier to maintain.  With named constants  if the value of the constant changes only the constant definition will need changing.  With actual values  the value will need changing everywhere it is used in the program.
Concatenation,"The process of joining two strings together.  E.g. if n1=""Fred"" and n2=""Bloggs"" then n3=n1 + n2 will make n3 = ""FredBloggs"""
Sequence,Consecutive steps or groups of steps processed one after another in the order that they arise.
Selection,A decision-making step.   Allows alternative paths through a program to be taken. I.e.  if()   if()….else or switch…case
Iteration/,A step or sequence of steps that are repeated until some condition is satisfied or while some condition is satisfied. 
Definite Iteration,A loop that executes a predetermined number of times.  I.e. a for loop.  This type of loop is used when the number of times the loop is to be executed is known before the loop starts.
Indefinite Iteration,A loop where the number of iterations is not known in advance but is determined by some condition.  The condition can either be tested at the start of the loop or at the end. I.e. a while loop or a do… while loop.
Global Variable,A variable declared at the beginning of the program and accessible from anywhere in the program.  Global variables are best avoided where possible  especially in methods.   Not using global variables makes it possible to reuse the method in other programs and it makes sure that the method is self-contained. Avoiding global variables generally makes the program code more understandable. 
Local Variable,A variable declared in a program block (method/subroutine) and accessible only within the program block.
Parameter,A parameter is a variable which allows data items to be passed to and/or from functions and procedures.  They are placeholders for variables supplied at runtime.
Routine Interface,The part of the routine that lists the parameters used to pass data into and out of the routine.  E.g.  static void example(string item  ref int position);
Stack Frame,A stack is used to keep track of subroutine (method) calls.  Whenever a subroutine is called  the return address  the values of local variables and parameters are stored in the stack.  A stack frame is the area of memory used to store this information for one call.
Recursion,When a subroutine calls itself.  I.e. within the definition of the subroutine  there is a call to itself.
Base case,This the stopping condition for a recursive subroutine.  It stops the recursive calls allowing the subroutine calls to complete.
General case,This is the case(s) that cause the recursive calls to happen.
Text File,A sequence of printable or readable characters/ASCII values organised on a line-by-line basis and stored under the same name on backing storage.  Example of text files include HTML files and high-level language source code (e.g. .cs  .bas) Text files can be created  read and edited in any text editor.
Record,A data structure that groups a number of variables – a collection of fields. In C# it is a struct.
Binary File,Binary files store data as different data types.  Data is stored in the same way as stored in the memory of the computer  e.g. integers will be stored as integers not as characters.  The file will contain non-printable characters and so is not a type of text file. Data read from a binary file using a suitable program will not need to be converted from text into the data type required before processing.  Binary files using take up less storage than storing the same data in a text file.  The file can only be read using a specially written program which an make the data a little more secure.  
Validation Check,A check made by a program to see that the data entered is reasonable.
Range Check,A check to ensure that the input data is within a particular range of values.  E.g. hours worked in the range 0 - 60.
Length Check,A check to ensure that a string value is of a particular length.  E.g. student ids are 8 characters long.
Format Check,A check to ensure that the input data is in a particular format.  Input masks can be used to carry out this type of check.  E.g. date in the format DD/MM/YYYY
Exception Handling,Code that is added to a program to stop it crashing if  for example  data of the incorrect type is entered.  In C#  try…catch or TryParse is used.  Usually the clause is included in a loop so that the user is given the opportunity to re-enter data.
Valid Data,Test data that is acceptable.
Erroneous Data,Test data that is not acceptable – i.e. invalid data.
Boundary data,Test data which on the boundary  just within the boundary or just outside of being correct  or where different processing is done for different values.  E.g. if employees can work a maximum of 60 hours a week then 59  60 and 61 would be the boundary values for hours worked. If overtime is paid for any hours over 40 - then 39  40 and 41 would be boundary values.    
Features of structured programming,Programs should use: Meaningful/appropriate/suitable identifiers; Subroutines / methods/modules which carry out one task; Subroutines/methods should use parameters to pass values; The programs should include structures such as selection and repetition statements. Goto statements should be avoided; Use of named constants;  Use of user-defined data types; Use of libraries;  Avoid global variables / use of local variables;
Advantages of structured programming,Easier maintenance/upgradeable; can get an overview of system; Quicker to write/Easier development; can break problem down into sub tasks/ can re–use modules/ distribute among team; Fewer mistakes made; clear organisation of code; Quicker/easier to debug; easier to see where errors are; Fewer lines of code using subroutines; code not duplicated;
Step-wise Refinement,The process of breaking a problem down through successive steps into smaller problems.
Top-down design/,A method which breaks a problem into smaller problems which are easier to work on.
Object-oriented programming,An object-oriented program is composed of a number of interacting objects  each of which has its own data and methods.
Class,A class is a template for an object.  It defines the attributes and methods of objects in that class.
Object,An object is an instance of a class.
Instantiation,The process of creating an instance of a class (i.e. creating an object).  E.g.  Device printer = new Device();  will create a new object of type Device. An implicit or explicit constructor method can be used. 
Encapsulation,The process of combining the data fields of a record with the procedures and functions that manipulate it to form a new data type (a class).  Encapsulation provides the ability to hide or isolate the internal components (data) and operations (methods) of an object  allowing the user only to communicate through the public interface. 
Inheritance,When a subclass is defined based on a base class and the subclass shares properties and methods with the base class from which it is derived.  Subclasses are 'types of' the base class.  E.g. printers and computers are types of device.
Polymorphism,Giving an action one name that is shared up and down a class hierarchy.  Each class in the hierarchy implements that action in a way appropriate to itself.
Overriding,Overriding allows a method in a subclass to be defined with the same name and parameter list as one in the class from which it has been derived.  It will have additional or different code from the original method in the base class. 
Aggregation,A 'has a' relationship in which one object contains another object.  When the container object is destroyed  the contained object will still exist.  Also  it is possible that the contained object may be shared with other container objects.  E.g. A computer science class contains students.  Students can belong to more than one class.  If the computer science class is destroyed  the students still exist.
Composition,A 'has a' relationship in which one object contains another object.  When the container object is destroyed so is the contained object. It is not possible for the contained object to be shared with other container objects.  E.g. A house contains rooms. If the house is destroyed so are the rooms.
