Natural Number,Any positive whole number that is greater than or equal to 0.,
Integer,Any whole number. The set of integers includes the set of natural numbers.,
Rational Number,Any number that can be represented as a fraction in the form n/m where n is an integer and m is an integer other than 0. The set of rational numbers contains the set of integers.,
Irrational Number,Any number that cannot be represented as an exact fraction. E.g. Ö3,
Real number,The set of real numbers is the set of all possible real world quantities. It includes the sets of natural numbers integers rational and irrational numbers. In programming any number that may have a decimal place is classed as real.,
Ordinal Number,An ordinal number describes the position of an object. E.g. first second etc.,
Decimal,Base ten.,
Binary,"A number system that uses two digits 0 and 1. E.g. 
    128
    64
    32
    16
    8
    4
    2
         
    = 3210 + 1610 + 210 +110 = 5110
 
    
 1
      0
    0
    1
    1
    0
    0
    1
    1",
Hexadecimal,"A number system that uses sixteen digits 010 to 910 and A16 to F16. A16=1010 B16=1110 etc.
 Hexadecimal is used as shorthand for binary because each hexadecimal digit converts to exactly 4 binary digits. This makes it easier for people to read than binary. 
 2B16 in hex = 0010 10112 in binary = (210*1610 + 1110) = 4310 in decimal",
Bit,A bit is a single binary digit - a 0 or a 1.,
Byte,A byte is a group of 8 bits.,
Word,A group of bytes.,
Unsigned Binary,This is a 'normal' binary integer. (See binary),
Two's Complement,#ERROR!,
Fixed Point,#ERROR!,
Floating Point,A way of representing real numbers in binary which is type of standard form. The floating points number comprises a mantissa and an exponent. The mantissa represents the significant figures of the number and the exponent is the power of two by which the mantissa is multiplied.,
Mantissa,The significant figures of a floating point number. For this syllabus it will be in two's complement format. It has a value between ½ and 1 or -1/2 and -1. I.e. positive numbers must start 0.1 and negative numbers must start 1.0.,
Exponent,The power of two by which the mantissa is multiplied. It will be a two's complement integer.,
Normalisation,Getting a floating point number into the correct format so that if positive the mantissa starts 0.1 and if negative it starts 1.0. Normalisation is carried out to ensure maximum precision using the given number of bits (maximum number of significant figures are stored) and to ensure there is only one way of representing a number.,
Absolute Error,Absolute error = actual value - value stored,
Relative Error,Relative error = Absolute error / actual value,
Overflow error,An error which occurs when the result of a calculation is too large to be stored in the available number of bits. Can occur when multiplying large numbers or when dividing a large number by a small fraction.,
Underflow error,An error which occurs when the result of a calculation is too small to be stored in the available number of bits. Can occur when multiplying two small fractions or when dividing a small fraction by a large number.,
Cancellation Error,An error which can occur when adding or subtracting a very large number and a very small number.,
Kilobyte,A kilobyte (KB) = 103 =1000 bytes,
Kibibyte,A kibibyte (KiB) is 210 = 1024 bytes,
Megabyte,A megabyte (MB) = 106 = 1 000 000 bytes,
Mebibyte,A mebibyte (MiB) = 220 = 1024 x 1024 bytes (= 1024 Kibibytes),
Gigabyte,A gigabyte (GB) is 109 = 1 000 000 000 bytes,
Gibibyte,A gibibyte(GiB) is 230 = 1024 x 1024 x 1024 bytes (= 1024 mebibytes),
Terabyte,A terabyte (TB) is 1012 = 1 000 000 000 000 bytes,
Tebibyte,A tebibyte (TiB) is 240 = 1024 x 1024 x 1024 x 1024 bytes (= 1024 gibibytes),
Character Code,A character code is a system where a fixed number of bits is used to represent characters and where each different character is represented by a unique (binary) number.,
